Anho,Moneda,Mes,G / ME,ME / USD
2001,ITL,6,"1,75","2.290,0900"
2001,BEF,6,"83,84","47,7110"
2001,BRL,6,"1.750,55","2,2850"
2001,ARS,6,"4.000,80","0,9998"
2001,CAD,6,"2.626,91","1,5227"
2001,ZAR,6,"496,59","8,0550"
2001,SDR,6,"4.989,60","1,2474"
2001,XAU,6,"1.072.600,00","268,1500"
2001,VEF,6,"5,57","718,1000"
2001,CLP,6,"6,39","626,1000"
2001,EUR,6,"3.381,20","0,8453"
2001,UYU,6,"294,77","13,5700"
2001,USD,7,"4.290,00","1,0000"
2001,DEM,7,"1.919,89","2,2345"
2001,JPY,7,"34,27","125,1700"
2001,GBP,7,"6.116,68","1,4258"
2001,CHF,7,"2.485,23","1,7262"
2001,FRF,7,"572,45","7,4941"
2001,SEK,7,"404,72","10,6000"
2001,NLG,7,"1.703,94","2,5177"
2001,DKK,7,"504,42","8,5048"
2001,ESP,7,"22,57","190,0900"
2001,NOK,7,"469,62","9,1350"
2001,ATS,7,"272,89","15,7207"
2001,ITL,7,"1,94","2.212,1200"
2001,BEF,7,"93,08","46,0870"
2001,BRL,7,"1.756,04","2,4430"
2001,ARS,7,"4.291,72","0,9996"
2001,CAD,7,"2.804,29","1,5298"
2001,ZAR,7,"521,81","8,2214"
2001,SDR,7,"5.394,68","1,2575"
2001,XAU,7,"1.140.282,00","265,8000"
2001,VEF,7,"5,92","724,8500"
2001,CLP,7,"6,46","664,0000"
2001,EUR,7,"3.753,32","0,8749"
2001,UYU,7,"320,15","13,4000"
2001,USD,8,"4.310,00","1,0000"
2001,DEM,8,"2.020,72","2,1329"
2001,JPY,8,"36,12","119,3200"
2001,GBP,8,"6.284,41","1,4581"
2001,CHF,8,"2.606,12","1,6538"
2001,FRF,8,"602,52","7,1533"
2001,SEK,8,"416,41","10,3505"
2001,NLG,8,"1.793,44","2,4032"
2001,DKK,8,"531,12","8,1150"
2001,ESP,8,"23,75","181,4500"
2001,NOK,8,"490,60","8,7852"
2001,ATS,8,"287,22","15,0058"
2001,ITL,8,"2,04","2.111,5300"
2001,BEF,8,"97,97","43,9910"
2001,BRL,8,"1.694,85","2,5430"
2001,ARS,8,"4.310,86","0,9998"
2001,CAD,8,"2.787,84","1,5460"
2001,ZAR,8,"514,87","8,3711"
2001,SDR,8,"5.527,58","1,2825"
2001,XAU,8,"1.182.664,00","274,4000"
2001,VEF,8,"5,85","737,0100"
2001,CLP,8,"6,51","661,7000"
2001,EUR,8,"3.950,55","0,9166"
2001,UYU,8,"323,57","13,3200"
2001,USD,9,"4.455,00","1,0000"
2001,DEM,9,"2.095,09","2,1264"
2001,JPY,9,"37,19","119,8000"
2001,GBP,9,"6.564,00","1,4734"
2001,CHF,9,"2.767,60","1,6097"
2001,FRF,9,"624,69","7,1315"
2001,SEK,9,"416,30","10,7014"
2001,NLG,9,"1.859,43","2,3959"
2001,DKK,9,"550,95","8,0860"
2001,ESP,9,"24,63","180,8900"
2001,NOK,9,"505,44","8,8141"
2001,ATS,9,"297,79","14,9601"
2001,ITL,9,"2,12","2.105,1000"
2001,BEF,9,"101,58","43,8570"
2001,BRL,9,"1.643,91","2,7100"
2001,ARS,9,"4.455,45","0,9999"
2001,CAD,9,"2.822,12","1,5786"
2001,ZAR,9,"496,19","8,9785"
2001,SDR,9,"5.748,73","1,2904"
2001,XAU,9,"1.293.286,50","290,3000"
2001,VEF,9,"6,00","742,5000"
2001,CLP,9,"6,40","696,3000"
2001,EUR,9,"4.095,48","0,9193"
2001,UYU,9,"327,81","13,5900"
2001,USD,10,"4.580,00","1,0000"
2001,DEM,10,"2.130,23","2,1500"
2001,JPY,10,"37,66","121,6300"
2001,GBP,10,"6.681,30","1,4588"
2001,CHF,10,"2.834,16","1,6160"
2001,FRF,10,"635,17","7,2107"
2001,SEK,10,"433,75","10,5592"
2001,NLG,10,"1.890,61","2,4225"
2001,DKK,10,"559,98","8,1788"
2001,ESP,10,"25,04","182,9000"
2001,NOK,10,"521,93","8,7752"
2001,ATS,10,"302,79","15,1262"
2001,ITL,10,"2,15","2.128,4700"
2001,BEF,10,"103,28","44,3440"
2001,BRL,10,"1.684,44","2,7190"
2001,ARS,10,"4.581,37","0,9997"
2001,CAD,10,"2.906,09","1,5760"
2001,ZAR,10,"489,28","9,3607"
2001,SDR,10,"5.856,90","1,2788"
2001,XAU,10,"1.284.232,00","280,4000"
2001,VEF,10,"6,16","743,0000"
2001,CLP,10,"6,39","716,3500"
2001,EUR,10,"4.165,05","0,9094"
2001,UYU,10,"328,08","13,9600"
2001,USD,11,"4.700,00","1,0000"
2001,DEM,11,"2.137,34","2,1990"
2001,JPY,11,"38,16","123,1800"
2001,GBP,11,"6.694,21","1,4243"
2001,CHF,11,"2.845,73","1,6516"
2001,FRF,11,"637,26","7,3753"
2001,SEK,11,"441,40","10,6479"
2001,NLG,11,"1.896,92","2,4777"
2001,DKK,11,"561,82","8,3657"
2001,ESP,11,"25,12","187,0800"
2001,NOK,11,"525,27","8,9477"
2001,ATS,11,"303,79","15,4714"
2001,ITL,11,"2,16","2.177,0500"
2001,BEF,11,"103,62","45,3560"
2001,BRL,11,"1.887,55","2,4900"
2001,ARS,11,"4.708,48","0,9982"
2001,CAD,11,"2.973,74","1,5805"
2001,ZAR,11,"464,34","10,1220"
2001,SDR,11,"5.954,90","1,2670"
2001,XAU,11,"1.289.680,00","274,4000"
2001,VEF,11,"6,30","746,0000"
2001,CLP,11,"6,90","680,9000"
2001,EUR,11,"4.177,83","0,8889"
2001,UYU,11,"341,32","13,7700"
2001,USD,12,"4.635,00","1,0000"
2001,DEM,12,"2.084,74","2,2233"
2001,JPY,12,"35,32","131,2200"
2001,GBP,12,"6.694,79","1,4444"
2001,CHF,12,"2.755,32","1,6822"
2001,FRF,12,"621,60","7,4566"
2001,SEK,12,"438,78","10,5634"
2001,NLG,12,"1.850,23","2,5051"
2001,DKK,12,"548,32","8,4531"
2001,ESP,12,"24,51","189,1400"
2001,NOK,12,"512,72","9,0400"
2001,ATS,12,"296,32","15,6420"
2001,ITL,12,"2,11","2.201,0600"
2001,BEF,12,"101,08","45,8560"
2001,BRL,12,"1.994,41","2,3240"
2001,ARS,12,"4.639,64","0,9990"
2001,CAD,12,"2.905,23","1,5954"
2001,ZAR,12,"387,87","11,9500"
2001,SDR,12,"5.814,14","1,2544"
2001,XAU,12,"1.281.577,50","276,5000"
2001,VEF,12,"6,05","766,0000"
2001,CLP,12,"7,04","658,5000"
2001,EUR,12,"4.075,56","0,8793"
2001,UYU,12,"333,45","13,9000"
2002,USD,1,"4.835,00","1,0000"
2002,DEM,1,"2.132,40","2,2674"
2002,JPY,1,"36,37","132,9500"
2002,GBP,1,"6.831,37","1,4129"
2002,CHF,1,"2.834,11","1,7060"
2002,FRF,1,"635,82","7,6044"
2002,SEK,1,"454,46","10,6390"
2002,NLG,1,"1.892,59","2,5547"
